Section,Item #,Checklist Item,Owning Agent(s),Code Artifact,Status,Notes,Questions,Last updated,Update Log
08 Assets Review,11,Review Retirement Accounts as applicable,review,"review_urla_assets.py:153-184,599-660",Implemented,"Builds retirement records from 'Retirement Account Statement' / Assets buckets, matches to 2a/VOD rows; FHA 60% haircut check (vested × 0.6 net of 401k loans) vs Encompass VOD amount",,"June 30, 2026",
09 Purchase Contract Review,1,Confirm Applicant and Seller Names on Title/Tax Cert,review,review_file_contacts.py,Implemented,Seller name: LOS vs SELLER contact + Purchase Contract pa_seller_name; applicant vs Title Report final_vesting; tax-cert owner of record (tax_owner_name added to Tax Summary server schema) cross-checked vs seller (purchase) / borrower (refi).,,2026-07-01,2026-07-01 added tax_owner_name extraction + tax-cert owner cross-check
09 Purchase Contract Review,2,Confirm Property Address matches Encompass,review,review_borrower_summary.py,Implemented,Property vs Encompass/USPS + explicit confirmation flag,,2026-07-01,2026-07-01 explicit confirm flag
09 Purchase Contract Review,3,Confirm Purchase Terms,review,review_borrower_summary.py,Implemented,Price + closing date + seller credits/concessions + financing contingency (payment_terms) + repairs / home warranty / fee allocation + personal property included (personal_property_included added to the Purchase Agreement server schema) surfaced for processor confirmation vs the fee worksheet / Loan Estimate.,,2026-07-01,2026-07-01 added personal_property_included extraction + surfacing
09 Purchase Contract Review,4,Confirm Fully Executed Contract on File,none,—,Not Implemented,No execution check,,"June 30, 2026",
09 Purchase Contract Review,5,Update Loan Stakeholders,review,review_file_contacts.py,Partial,File contacts partial,,"June 30, 2026",
10 Title Order & Review,1,Order Prelim Title Commitment,communications,graphs/processor_title_order.py,Implemented,Covered by request title order email via dashboard,,"June 30, 2026",
10 Title Order & Review,2,"Confirm completeness (CPL, chain, wire instr, tax cert)",communications,—,Partial,"Covered by request title order email via dashboard, no package-completeness check",,"June 30, 2026",
10 Title Order & Review,3,"Update Encompass w/ Tax Cert (Parcel, Annual Amount)","communications, review",—,Partial,"Covered by request title order email via dashboard, no Encompass update",,"June 30, 2026",
10 Title Order & Review,4,Confirm Legal Description,communications,—,Implemented,Covered by request title order email via dashboard,,"June 30, 2026",
10 Title Order & Review,5,"Upload title docs (Est CD, prelim, CPL, wire, E&O)",document-management,graphs/upload_forms_to_efolder.py,"Partial, Ordering title docs via Qualia blocked by unavailable credentials",Generic upload available; Qualia download pipeline not yet done,,"June 30, 2026",
11 Appraisal Order & Review,1,Order Appraisal per AUS Findings,integrations,output/tools/channel_a.py:87-192,"Partial, Ordering blocked by unavailable credentials",Reggora lib done; to plug credentials,,"June 30, 2026",
11 Appraisal Order & Review,2,PIW waiver issued/executed if applicable,review,update_transmittal_summary.py,Not Implemented,No PIW check,,"June 30, 2026",
11 Appraisal Order & Review,3,Compare Appraisal Address vs USPS,review,review_borrower_summary.py,Implemented,"Appraisal-specific subject address vs USPS-validated address (appraisal_property_address, else appraisal-sourced property_address); reuses address_validation. Confirms on match, warns on house-number/street mismatch. Appraisal doc-type/field mapping reconciled to real server schema.",,2026-07-01,2026-07-01 built appraisal address vs USPS + mapping fix
11 Appraisal Order & Review,4,"Confirm Legal Description, Applicant, Seller (Purchase)",none,—,Not Implemented,No tool,,"June 30, 2026",
11 Appraisal Order & Review,5,Confirm Occupancy Type,review,update_borrower_vesting.py / update_transmittal_summary.py / review_borrower_summary.py,Implemented,"Occupancy intent computed (vesting) + presence/recognized-value validation + appraisal cross-ref: URAR 'Occupant' line (appraisal_occupancy: Owner/Tenant/Vacant) added to the Appraisal Report server schema and compared vs LOS occupancy (1811) — warns on Owner-vs-investment / Tenant-vs-primary conflicts, info-confirms on match.",,2026-07-01,2026-07-01 added appraisal_occupancy extraction + occupancy cross-check
11 Appraisal Order & Review,6,Confirm PUD Designation and PUD Name,review,update_transmittal_summary.py:99-260,Implemented,"PUD detection from 3 signals (appraisal URAR Project Type checkbox = authoritative, HOA dues field 233 + Attached dwelling, external Zillow/HasData public records); writes Project Type 1012 = 'Other: G/Not in a Project or Development' for non-PUD and Project Name (CX.CONDO.PROJECT.NAME, write-if-blank) from Zillow subdivision; Zillow lookup best-effort (needs HASDATA_API_KEY, falls back to deep link)",,"June 30, 2026",
11 Appraisal Order & Review,7,Review As-Is vs Subject To (1004D),none,—,Not Implemented,No tool,,"June 30, 2026",
11 Appraisal Order & Review,8,Send appraisal via Blend + ROV disclosure,communications,—,Not Implemented,No Blend appraisal-send,,"June 30, 2026",
11 Appraisal Order & Review,9,"Upload appraisal, 442, condo invoices",document-management,graphs/upload_forms_to_efolder.py,Partial,Generic upload 🟡 dry-run,,"June 30, 2026",
12 Flood Cert & Insurance,1,Order Flood Cert,integrations,—,"Not Implemented, Ordering blocked by unavailable credentials",,,"June 30, 2026",
12 Flood Cert & Insurance,2,Confirm Applicant/Property match Encompass,review,run_pre_checks.py:96-100,Partial,Flood cert presence check only,,"June 30, 2026",
12 Flood Cert & Insurance,3,Confirm Life of Loan Determination,none,—,Not Implemented,No tool,,"June 30, 2026",
12 Flood Cert & Insurance,4,Confirm Flood Zone Designation,integrations,field_utils.py:1258-1303,Partial,Flood zone parsed from doc (X vs A/V),,"June 30, 2026",
12 Flood Cert & Insurance,5,Flood Zone → Notice issued + insurance required,none,—,Not Implemented,No tool,,"June 30, 2026",
12 Flood Cert & Insurance,6,Order Flood Insurance if not in HOI,none,—,Not Implemented,No tool,,"June 30, 2026",
12 Flood Cert & Insurance,7,"Confirm Flood Policy details (coverage, mortgagee, etc.)",none,—,Not Implemented,No tool,,"June 30, 2026",
12 Flood Cert & Insurance,8,Confirm Flood Policy Paid in Full / Due at Closing,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,1,Order Hazard Insurance,communications,—,Not Implemented,No HOI order/request email,,"June 30, 2026",
13 Hazard Insurance,2,Confirm Loan Number on Policy,none,—,Not Implemented,No HOI parsing/validation,,"June 30, 2026",
13 Hazard Insurance,3,Confirm Applicant Names on Policy,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,4,Confirm Property Address matches subject,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,5,Confirm Effective Date on/before Note/Closing,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,6,Confirm insurable coverage meets minimum,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,7,Confirm Policy Paid in Full / Due at Closing,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,8,Confirm Premium and Deductibles meet guidelines,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,9,Confirm Mortgagee Clause on Policy,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,10,Rent Loss coverage if rental income used,none,—,Not Implemented,No tool,,"June 30, 2026",
13 Hazard Insurance,11,Upload evidence of insurance,document-management,graphs/upload_forms_to_efolder.py,Partial,Generic upload 🟡 dry-run,,"June 30, 2026",
14 MI Quote Review,1,MI Quote Expiration after Closing Date,none,—,Not Implemented,Mortgage Terms MI fields not automated,,"June 30, 2026",
14 MI Quote Review,2,"Confirm Paid/Plan Type, Remittance Frequency",none,—,Not Implemented,No tool,,"June 30, 2026",
14 MI Quote Review,3,Confirm Refund/Amortization Type,none,—,Not Implemented,No tool,,"June 30, 2026",
14 MI Quote Review,4,Confirm MI Coverage Percentage,none,—,Not Implemented,No tool,,"June 30, 2026",
14 MI Quote Review,5,Confirm Premium Rate / Payment Schedule,none,—,Not Implemented,No tool,,"June 30, 2026",
14 MI Quote Review,6,Confirm Property Type/Loan Amount/Purpose/Type/Amort/Occupancy,none,—,Not Implemented,No tool,,"June 30, 2026",
14 MI Quote Review,7,Confirm LTV and DTI,none,—,Not Implemented,No tool,,"June 30, 2026",
14 MI Quote Review,8,Material LTV/DTI change → MI update + Redisclosure,none,—,Not Implemented,No tool,,"June 30, 2026",
15 Fraud & Compliance,1,Review Fraud Report High Alerts,integrations,document_type_registry.py:147-158,Not Implemented,FraudGuard doc type only; no alert review/order,,"June 30, 2026",
15 Fraud & Compliance,2,Known Participants Successful / OFAC clear,none,—,Not Implemented,No tool,,"June 30, 2026",
15 Fraud & Compliance,3,Review Mavent Report Fails,none,—,Not Implemented,No tool,,"June 30, 2026",
15 Fraud & Compliance,4,Run new Mavent Report and post,none,—,Not Implemented,No tool,,"June 30, 2026",
16 AUS / DU / LP Findings,1,Confirm AUS Findings Approve/Eligible,integrations,output/tools/channel_b.py:250-354,"Partial, Ordering blocked by unavailable credentials",DU/LP run lib done; findings parse + eligibility flag not yet done (agent stub),,"June 30, 2026",
16 AUS / DU / LP Findings,2,Confirm Applicant Name and Loan Number,integrations,channel_b.py,"Partial, Ordering blocked by unavailable credentials",Run only; no result validation,,"June 30, 2026",
16 AUS / DU / LP Findings,3,Confirm Property Address/Type/Units/Occupancy,integrations,—,"Not Implemented, Ordering blocked by unavailable credentials",No findings parse,,"June 30, 2026",
16 AUS / DU / LP Findings,4,Confirm LTV matches Loan Terms screen,none,—,"Not Implemented, Ordering blocked by unavailable credentials",No tool,,"June 30, 2026",
16 AUS / DU / LP Findings,5,Review Findings/Verification/Approval Conditions,integrations,channel_b.py:207-212,"Not Implemented, Ordering blocked by unavailable credentials",Terminal poll returns raw body; no flags surfaced,,"June 30, 2026",
16 AUS / DU / LP Findings,6,Confirm Income/Assets/Property Requirements,none,—,"Not Implemented, Ordering blocked by unavailable credentials",No tool,,"June 30, 2026",
16 AUS / DU / LP Findings,7,Run new AUS Findings and post to file,integrations,channel_b.py:250-354,"Partial, Ordering blocked by unavailable credentials",DU+LP run lib done (not wired); investor auto-detect via 1008 not yet done,,"June 30, 2026",
17 Submit to Underwriting,1,Move docs from Ocrolus Unknown into folders,document-management,—,Not Implemented,No Ocrolus-Unknown reclassification,,"June 30, 2026",
17 Submit to Underwriting,2,Docs in correct buckets; most recent on top,document-management / computer-use,graphs/efolder_rename_move.py,Partial,Rename/move attachments to certain buckets; re-order not done,,"June 30, 2026",
17 Submit to Underwriting,3,Update 1003 pages with verified data,review,review_borrower_summary / review_urla_page1 / update_urla_lender / update_borrower_vesting / update_transmittal_summary / update_fha_management,Partial,"Broad field-write coverage now: borrower summary (cell phone), page1 (mailing-same 1819/1820, Former Address N/A X265/X266), URLA Lender (manner 33/X138, estate 1066), vesting, transmittal (project type 1012, project name), FHA mgmt (CAIVRS, case#)",,"June 30, 2026",
17 Submit to Underwriting,4,Upload Ocrolus Income Calc Worksheet,integrations / document-management,—,"Not Implemented, Ordering blocked by unavailable credentials",Ocrolus + replace-in-place upload missing,,"June 30, 2026",
17 Submit to Underwriting,5,"Complete/upload final 1008, FHA Transmittal, VA Analysis",review,update_transmittal_summary.py + update_hud_transmittal.py,Partial,"1008 Transmittal: rate vs qualifying + condo CPM + Project Type 1012 + PUD/Project Name writes; HUD-92900-LT (FHA Transmittal) review/flag (Source/EIN=MMP/52, Case#+ADP present) — flag-only since UW completes it; VA Loan Analysis not included",,"June 30, 2026",
17 Submit to Underwriting,6,Move unnecessary docs to Recycle; delete unused buckets,document-management,config/efolder_delete_list.yaml,Implemented,Move certain documents to Recycle/Misc bin,,"June 30, 2026",
17 Submit to Underwriting,7,Pull MI quote if applicable,none,—,Not Implemented,No tool,,"June 30, 2026",
17 Submit to Underwriting,8,Complete FHA/VA/USDA/Fannie/Freddie additional data screens,review,update_fha_management.py + update_hud_transmittal.py,Partial,"FHA Management implemented (CAIVRS 1018/1144 + FHA Case # 1040, FHA loans only) + HUD Transmittal review; Fannie/Freddie additional-data + AMI eligibility partially via review_urla_downpayment; VA/USDA mgmt screens not yet done",,"June 30, 2026",
17 Submit to Underwriting,9,Run AUS (DU+LP); confirm credit ID# matches,integrations,channel_b.py:250-354,"Partial, Ordering blocked by unavailable credentials",Run lib done; credit ID# match not yet done,,"June 30, 2026",
17 Submit to Underwriting,10,Upload final 1003 + HUD Addendum to Internal Submission,document-management,graphs/upload_forms_to_efolder.py:25-32,Partial,"Upload 1003 done, HUD Addendum not yet done",When do we upload HUD Addendum? Is it loan type specific?,"June 30, 2026",
17 Submit to Underwriting,11,Complete Cover Letter to Underwriting,review,draft_cover_letter.py:66-257,Implemented,"Reads almas_notes, strips boilerplate (File Summary, Team Contacts, Appraisal, Additional Notes sections + identifier lines), salvages AUS Findings / Loan Program, auto-builds 'Documents still needed:' (Appraisal unless waived/in-eFolder, HOI, Title Report, Assets if REO), writes CX.KM.SUBMISSION.NOTES; warns if almas_notes missing",,"June 30, 2026",
17 Submit to Underwriting,12,Upload Processor Cert (VA loans only),none,—,Not Implemented,No tool,,"June 30, 2026",
17 Submit to Underwriting,13,Encompass Updates - Processor Comparison 'Update Saved Fields',computer-use,—,Not Implemented,Scaffold only (related to complete_required_fields 17.2),,"June 30, 2026",
17 Submit to Underwriting,14,Complete Processing milestone (Finished box) → Underwriting,review,—,Not Implemented,No update_milestone tool; 17.1/17.2 missing from post_submission_substeps,,"June 30, 2026",
17 Submit to Underwriting,13.1a,Print 1008 + 2020 URLA + Cover Letter to PDF,document-management,—,Implemented,Dashboard feature ,,"June 30, 2026",
18 Change of Circumstance,1,Encompass Form - Disclosure Summary,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
18 Change of Circumstance,2,Request COC within 3 days of rate/terms change,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
18 Change of Circumstance,3,Request disclosures on LE/CD with reason,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
18 Change of Circumstance,4,Click Corrections Requested and save,none / computer-use,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
19 Loan Approval & Conditions,1,Review UW/QA conditions; inform LO of borrower conditions,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
19 Loan Approval & Conditions,2,Review Lock Confirmation; qualifying rate vs Transmittal,review,update_transmittal_summary.py:86-164,Partial,Note rate vs qualifying rate flag exists,,"June 30, 2026",
19 Loan Approval & Conditions,3,Update Encompass via Polly for property/value/DSCR changes,none,—,Not Implemented,No Polly integration,,"June 30, 2026",
19 Loan Approval & Conditions,4,File Contacts / AKAs,review,review_borrower_summary.py (3.1) + review_file_contacts.py,Implemented,AKA reconcile already covers this: Credit Report AKAs parsed and written-if-blank to URLA aliases 1869/1874 (borrower/co-borrower); file contacts reviewed. No separate 19.4 code needed.,,"July 3, 2026",2026-07-03: Marked Implemented — covered by earlier §3.1 AKA reconcile + file-contacts review.
19 Loan Approval & Conditions,5,Order LDP/GSA via Processor Workflow,integrations,efolder_client.py:47,"Implemented, Ordering blocked by unavailable credentials","Order via API, not currently done via Processor Workflow",,"June 30, 2026",
19 Loan Approval & Conditions,6,Review Prior to Close Conditions,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
19 Loan Approval & Conditions,7,Confirm Max Cash to Close per UW Approval,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
19 Loan Approval & Conditions,8,Property Type on Appraisal matches UW Approval,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
19 Loan Approval & Conditions,9,Confirm the Expiration Date,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
19 Loan Approval & Conditions,10,Confirm Minimum Investment met (if applicable),none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
19 Loan Approval & Conditions,11,Confirm Maximum Commission of 8% (Purchase),none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
20 CD Request & Approval,1,Confirm lock expiration covers CD wait / funding,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
20 CD Request & Approval,2,All LEs signed and downloaded,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
20 CD Request & Approval,3,Verify 2015 Itemization screen,review,data_gathering.py:1083 (CTC prefetch),Partial,CTC read and validated; no other itemization validation,,"June 30, 2026",
20 CD Request & Approval,4,Request CD via Disclosure Desk; CD Requested button,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
20 CD Request & Approval,5,Select CD balancing option,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
20 CD Request & Approval,6,"Add details in Processing/Sales Notes (EMD refunded, etc.)",none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
20 CD Request & Approval,7,"If COC CD needed, request corrections",none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
21 Condition Handling,1,Upload conditions to eFolder; mark Ready for UW,document-management,graphs/mark_docs_ready_for_uw.py:154-204,Partial,Mark-ready available; uploading of conditions not yet done,,"June 30, 2026",
21 Condition Handling,2,Attach supporting docs to conditions in Encompass,document-management,—,Not Implemented,No conditions PATCH/fulfill (orchestrator has read/create only),,"June 30, 2026",
21 Condition Handling,3,Upload Conditions Cover Sheet / add comments,none,—,Not Implemented,No tool,,"June 30, 2026",
21 Condition Handling,4,Enter signing date and wire request,review,update_processor_closing.py:53-129,Partial,"Processor Closing (12.2): for purchase loans writes Signing Date (CUST50FV) + Wire Requested Date (CX.WIREDATELO) = Est Closing Date (763, ISO-normalized); non-purchase flags for manual entry; wire-request email/amount not handled here",,"June 30, 2026",
21 Condition Handling,5,"Upload docs to be signed at closing (LOEs, tax pages)",document-management,graphs/upload_forms_to_efolder.py,Partial,Generic upload available,,"June 30, 2026",
22 Docs Stage,1,File enters Docs Queue after CTC and CD approval,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
22 Docs Stage,2,Confirm note/signing date in Docs Teams channel,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
22 Docs Stage,3,Check for conditions added by Docs/QA once docs sent,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
23 Funding,1,Upload Borrower/Processor funding conditions; attach,none / document-management,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
23 Funding,2,Notify Funder once conditions uploaded,none / communications,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
23 Funding,3,Submit PTI Request Form to James Medina if exception,none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
24 Notice of Action Taken,1,"If denied/withdrawn/cancelled, complete NOAT Processing",none,—,Not Implemented,,Aren't these post-submission to UW? To confirm,"June 30, 2026",
